Sector,Company,Headquarters,Overall  rank,Revenues  ($M)
Aerospace &amp; Defense,China North Industries Group,Beijing,0146#146,82,689
Apparel,Christian Dior,Paris,0143#143,83,283
Chemicals,Sinochem Holdings,Beijing,0038#38,173,834
Energy,Saudi Aramco,Dhahran,0002#2,603,651
Engineering &amp; Construction,China State Construction Engineering,Beijing,0013#13,305,885
Financials,Berkshire Hathaway,Omaha,0014#14,302,089
Food &amp; Drug Stores,Kroger,Cincinnati,0058#58,148,258
Food, Beverages &amp; Tobacco,Archer Daniels Midland,Chicago,0098#98,101,556
Health Care,UnitedHealth Group,Minnetonka,0010#10,324,162
Hotels, Restaurants &amp; Leisure,Compass Group,Chertsey,0469#469,32,564
Household Products,Procter &amp; Gamble,Cincinnati,0154#154,80,187
Industrials,Hengli Group,Suzhou,0123#123,90,944
Materials,China Baowu Steel Group,Shanghai,0044#44,161,698
Media,Walt Disney,Burbank,0145#145,82,722
Motor Vehicles &amp; Parts,Volkswagen Group,Wolfsburg,0015#15,293,685
Retailing,Walmart,Bentonville,0001#1,611,289
Technology,Apple,Cupertino,0008#8,394,328
Telecommunications,China Mobile Communications,Beijing,0062#62,139,597
Transportation,China Post Group,Beijing,0086#86,110,271
Wholesalers,Trafigura Group,Singapore,0012#12,318,476
