Sector,Company,Headquarters,Overall  rank,Revenues  ($M)
Aerospace &amp; Defense,Airbus,Leiden,0060#116,78,883
Apparel,Christian Dior,Paris,0234#180,60,071
Business services,Compass Group,Chertsey,0434#395,31,736
Chemicals,BASF,Ludwigshafen,0126#143,70,723
Energy,Sinopec Group,Beijing,0002#2,407,009
Engineering &amp; Construction,China State Construction Engineering,Beijing,0024#18,205,839
Financials,Berkshire Hathaway,Omaha,0008#14,254,616
Food &amp; Drug Stores,Walgreens Boots Alliance,Deerfield,0037#41,136,866
Food, Beverages &amp; Tobacco,Nestlé,Vevey,0064#82,92,107
Health Care,CVS Health,Woonsocket,0013#13,256,776
Household Products,Procter &amp; Gamble,Cincinnati,0098#156,67,684
Industrials,Siemens,Munich,0031#74,97,937
Materials,Amer International Group,Shenzhen,0120#91,88,862
Media,Walt Disney,Burbank,0161#150,69,570
Motor Vehicles &amp; Parts,Volkswagen,Wolfsburg,0005#7,282,760
Retailing,Walmart,Bentonville,0001#1,523,964
Technology,Apple,Cupertino,0009#12,260,174
Telecommunications,AT&amp;T,Dallas,0019#22,181,193
Transportation,China Post Group,Beijing,0099#90,89,347
Wholesalers,Trafigura Group,Singapore,0011#27,171,474
